,Constituency Code,Constituency,Candidate Number,Name of Candidate,No. of Votes Received,Camp,Elected
0,A01,CHUNG WAN,1,HUI CHI FUNG,1618,D,True
1,A01,CHUNG WAN,2,WONG CHUNG WAI,1319,B,False
2,A02,MID LEVELS EAST,1,"MOK KAM SUM
(SAMUEL)",1993,B,False
3,A02,MID LEVELS EAST,2,NG SIU HONG,2672,D,True
4,A03,CASTLE ROAD,1,CHENG LAI KING,2669,D,True
5,A03,CASTLE ROAD,2,FUNG KAR LEUNG KARL,2559,B,False
6,A04,PEAK,1,"URUMA KUNINOBU
(THOMAS)",1106,D,False
7,A04,PEAK,2,YOUNG CHIT ON JEREMY,2422,B,True
8,A05,UNIVERSITY,1,AU CHUNG YIN,127,I,False
9,A05,UNIVERSITY,2,YAM KA YI,3135,D,True
10,A05,UNIVERSITY,3,CHAN CHIT KWAI,2843,B,False
11,A06,KWUN LUNG,1,YEUNG HOI WING,2970,B,False
12,A06,KWUN LUNG,2,CHOW SAI KIT,138,D,False
13,A06,KWUN LUNG,3,LEUNG FONG WAI FERGUS,3195,D,True
14,A07,KENNEDY TOWN & MOUNT DAVIS,1,"WONG KIN CHING
(CHERRY)",3312,D,True
15,A07,KENNEDY TOWN & MOUNT DAVIS,2,"LAM SUET YING
(MAVIS)",53,I,False
16,A07,KENNEDY TOWN & MOUNT DAVIS,3,CHAN HOK FUNG,2206,B,False
17,A08,SAI WAN,1,CHEUNG KWOK KWAN,2494,B,False
18,A08,SAI WAN,2,WONG MI HING SHIRLEY,40,I,False
19,A08,SAI WAN,3,PANG KA HO,3289,D,True
20,A09,BELCHER,1,"YEUNG SUI YIN
(VICTOR)",4002,D,True
21,A09,BELCHER,2,FUNG KING YIN,76,I,False
22,A09,BELCHER,3,YIP WING SHING,3521,B,False
23,A10,SHEK TONG TSUI,1,CHAN CHOI HI,2487,B,False
24,A10,SHEK TONG TSUI,2,YIP KAM LUNG SAM,3073,D,True
25,A11,SAI YING PUN,1,WONG WENG CHI,2734,D,True
26,A11,SAI YING PUN,2,"LAU TIN CHING
(TIMOTHY)",2202,B,False
27,A12,SHEUNG WAN,1,LUI HUNG PAN,1900,B,False
28,A12,SHEUNG WAN,2,KAM NAI WAI,2781,D,True
29,A13,TUNG WAH,1,CHEUNG KA YAN,1547,B,False
30,A13,TUNG WAH,2,NG HOI YAN BONNIE,2403,D,True
31,A14,CENTRE STREET,1,CHEUNG KAI YIN,2909,D,True
32,A14,CENTRE STREET,2,LEE CHI HANG SIDNEY,2030,B,False
33,A15,WATER STREET,1,YEUNG HOK MING,2095,B,False
34,A15,WATER STREET,2,HO CHI WANG,3093,D,True
35,B01,HENNESSY,1,KOO KWOK WAI SABINA,1373,D,True
36,B01,HENNESSY,2,HA HEI LOK,845,D,False
37,B01,HENNESSY,3,WONG SAU TUNG,1033,B,False
38,B02,OI KWAN,1,LAW WAI SHAN,2363,D,True
39,B02,OI KWAN,2,MUK KA CHUN,1750,B,False
40,B03,CANAL ROAD,1,MAK KING SING,1891,D,True
41,B03,CANAL ROAD,2,CHUNG KA MAN JACQUELINE,1383,B,False
42,B04,CAUSEWAY BAY,1,NG YUEN TING YOLANDA,1572,B,False
43,B04,CAUSEWAY BAY,2,YAU MAN SHAN CATHY,1918,D,True
44,B05,VICTORIA PARK,1,LI WING CHOI,2502,D,True
45,B05,VICTORIA PARK,2,CHOW KIT BING JENNIFER,2125,B,False
46,B06,TIN HAU,1,CHAN YUK LAM,2899,D,True
47,B06,TIN HAU,2,LEE MAN LUNG JOEY,2623,B,False
48,B07,TAI HANG,1,LIU TIN SHING,1433,B,False
49,B07,TAI HANG,2,YEUNG SUET YING CLARISSE,2340,D,True
50,B08,JARDINE'S LOOKOUT,1,CHEUNG CHARLTON,1355,D,False
51,B08,JARDINE'S LOOKOUT,2,LAM WAI MAN WIND,2570,B,True
52,B08,JARDINE'S LOOKOUT,3,TSE WING LING JOHN,464,D,False
53,B09,BROADWOOD,1,TSE WAI CHUN PAUL,2121,B,True
54,B09,BROADWOOD,2,YEUNG TSZ CHUN,1887,D,False
55,B10,HAPPY VALLEY,1,CHEUNG CLARA,1954,D,True
56,B10,HAPPY VALLEY,2,"CHAN WING HA
(VIVIAN)",207,D,False
57,B10,HAPPY VALLEY,3,NG CHAK SUM SAM,1805,B,False
58,B11,STUBBS ROAD,1,WONG WANG TAI,1908,B,True
59,B11,STUBBS ROAD,2,CHOW KAM KEI FRANKIE,1591,D,False
60,B12,SOUTHORN,1,"CHAN KAM SHING
(CHRIS)",1652,D,False
61,B12,SOUTHORN,2,LEE PIK YEE,1790,B,True
62,B13,TAI FAT HAU,1,LEE KWUN YEE KENNY,1625,B,False
63,B13,TAI FAT HAU,2,LEUNG PAK KIN,1723,D,True
64,C01,TAI KOO SHING WEST,1,TING WONG KACEE,2593,B,False
65,C01,TAI KOO SHING WEST,2,"CHIU KA YIN ANDREW
(DR ANDREW CHIU)",4390,D,True
66,C02,TAI KOO SHING EAST,1,"KWOK HO KING CALVIN
(DR. KWOK)",3106,B,False
67,C02,TAI KOO SHING EAST,2,WONG CHUN SING PATRICK,4848,D,True
68,C03,LEI KING WAN,1,CHEUNG MAN SUNG,3098,B,False
69,C03,LEI KING WAN,2,WEI SIU LIK ALICE,4144,D,True
70,C04,SAI WAN HO,1,MAK TAK CHING,4323,D,True
71,C04,SAI WAN HO,2,LAM TSZ HUNG,2530,B,False
72,C05,ALDRICH BAY,1,KWOK WING KIN,3771,B,False
73,C05,ALDRICH BAY,2,"YUEN TAT CHUN
(SIMON)",86,I,False
74,C05,ALDRICH BAY,3,SO YAT HANG,4600,D,True
75,C06,SHAUKEIWAN,1,LAM SUM LIM,1903,B,False
76,C06,SHAUKEIWAN,2,LEUNG WING SZE,3215,D,True
77,C07,A KUNG NGAM,1,KWOK CHI CHUNG,4204,D,True
78,C07,A KUNG NGAM,2,LAM KEI TUNG GEORGE,3174,B,False
79,C07,A KUNG NGAM,3,CHAN EUGENE YAT HIM,597,I,False
80,C08,HENG FA CHUEN,1,WONG YI CHRISTINE,5323,D,True
81,C08,HENG FA CHUEN,2,HO NGAI KAM STANLEY,4114,B,False
82,C09,TSUI WAN,1,LAU SUK YIN,2847,B,False
83,C09,TSUI WAN,2,KU KWAI YIU,3569,D,True
84,C10,YAN LAM,1,ISHIGAMI LEE FUNG KING ALICE,3982,D,True
85,C10,YAN LAM,2,WONG KIN HING,3543,B,False
86,C10,YAN LAM,3,TAN YI CHUN WINDY,106,I,False
87,C11,SIU SAI WAN,1,CHU YAT ON,288,B,False
88,C11,SIU SAI WAN,2,CHAN WING TAI,3212,D,True
89,C11,SIU SAI WAN,3,LI LOK YAN,2485,B,False
90,C12,KING YEE,1,YEUNG HON SING,623,B,False
91,C12,KING YEE,2,LEUNG KWOK HUNG DAVID,3079,B,False
92,C12,KING YEE,3,TSANG YAN YING,4936,D,True
93,C13,WAN TSUI,1,NG CHEUK IP,3412,D,True
94,C13,WAN TSUI,2,WONG KAM YIN,39,I,False
95,C13,WAN TSUI,3,KUNG PAK CHEUNG,2866,B,False
96,C14,FEI TSUI,1,LAI CHI KEONG JOSEPH,3591,D,True
97,C14,FEI TSUI,2,CHAN HOI WING,2742,B,False
